Name,logTeff,logLum,Mass,logAge,logMass
053429.4-052337,3.454,-0.98,,,
053429.5-052354,3.708,0.64,1.98,6.58,0.2966651902615311
053433.9-052211,3.479,-0.88,0.17,5.95,-0.7695510786217261
053434.9-052507,,,,,
053438.2-052338,,,,,
053438.2-052423,3.502,-0.57,0.23,6.29,-0.638272163982407
053439.7-052425,3.661,1.19,2.12,5.55,0.32633586092875144
053439.8-052456,,,,,
053439.9-052642,3.708,0.73,2.11,6.49,0.3242824552976926
053440.0-052604,3.441,-0.37,0.13,4.75,-0.8860566476931632
053440.8-052242,3.602,0.44,0.69,5.74,-0.16115090926274472
053440.8-052639,3.546,-0.57,0.36,6.4,-0.44369749923271273
053440.9-052559,3.58,-0.71,0.55,6.93,-0.2596373105057561
053441.6-052357,3.467,-0.68,0.13,5.46,-0.8860566476931632
053441.7-052652,3.513,-0.6,0.26,6.33,-0.585026652029182
053441.8-052149,3.467,-1.39,,,
053443.0-052007,3.623,0.26,0.9,6.05,-0.045757490560675115
053443.4-052059,,,,,
053443.9-052208,,,,,
053444.4-052606,3.467,-0.49,0.16,5.28,-0.7958800173440752
053444.5-052438,3.491,-1.04,0.15,6.49,-0.8239087409443188
053444.5-052548,,,,,
053445.2-052504,3.695,0.89,2.17,6.18,0.3364597338485295
053445.3-052239,,,,,
053445.4-052212,,,,,
053445.9-052250,,,,,
053445.9-052455,3.58,-0.21,0.53,6.23,-0.27572413039921095
053446.4-052431,3.58,-0.01,0.53,6.01,-0.27572413039921095
053446.5-052325,3.535,-0.29,0.33,6.12,-0.4814860601221125
053446.7-052124,3.513,-0.7,0.25,6.4,-0.6020599913279624
053446.7-052632,,,,,
053446.8-052345,,,,,
053447.0-052357,,,,,
053447.2-052206,,,,,
053447.2-052307,,,,,
053447.5-052128,,,,,
053447.9-052340,3.513,-0.35,0.27,5.71,-0.5686362358410126
053448.0-052054,,,,,
053448.1-052151,,,,,
053448.1-052238,3.502,-1.4,0.15,6.9,-0.8239087409443188
053448.7-051907,3.491,-0.51,0.21,6.0,-0.6777807052660807
053448.8-052118,,,,,
053448.8-052317,3.557,0.13,0.4,5.85,-0.3979400086720376
053449.0-052626,3.557,-0.96,0.23,6.61,-0.638272163982407
053449.0-052818,3.502,-0.54,0.23,6.25,-0.638272163982407
053449.1-052808,3.441,-0.94,,,
053449.3-051855,3.513,-0.29,0.27,5.64,-0.5686362358410126
053449.4-052359,,,,,
053449.6-052903,3.546,-0.25,0.37,6.1,-0.431798275933005
053450.1-052000,3.454,-1.33,,,
053450.2-051854,,,,,
053450.3-052323,,,,,
053450.3-052631,,,,,
053450.4-052020,3.623,-0.21,0.92,6.73,-0.03621217265444471
053450.5-052335,3.557,-1.01,0.39,7.04,-0.4089353929735008
053450.7-052112,,,,,
053450.7-052401,3.643,0.2,1.19,6.36,0.07554696139253074
053450.7-052700,3.58,-0.05,0.53,6.05,-0.27572413039921095
053450.8-052403,,,,,
053450.9-052924,3.479,-0.54,0.24,6.02,-0.619788758288394
053451.4-052658,,,,,
053451.5-052513,3.695,0.28,1.52,6.84,0.18184358794477254
053451.5-052618,,,,,
053451.8-052139,3.502,-0.43,0.23,6.32,-0.638272163982407
053452.0-052418,3.502,-0.61,0.24,6.05,-0.619788758288394
053452.0-052442,3.502,-0.45,0.24,6.05,-0.619788758288394
053452.1-052231,3.524,0.28,0.29,4.52,-0.5376020021010439
053452.3-052501,,,,,
053452.3-053007,,,,,
053452.4-051835,,,,,
053452.6-052403,3.546,-0.25,0.37,6.1,-0.431798275933005
053452.6-052945,3.513,-0.46,0.26,6.24,-0.585026652029182
053452.7-052125,,,,,
053452.7-052752,,,,,
053452.7-052755,,,,,
053452.9-052616,,,,,
053452.9-052858,3.502,-0.76,0.21,6.41,-0.6777807052660807
053453.0-052659,,,,,
053453.1-052400,,,,,
053453.1-052627,,,,,
053453.3-052628,,,,,
053453.4-052219,,,,,
053453.5-052651,,,,,
053453.8-052636,,,,,
053453.9-052221,3.454,-1.14,,,
053453.9-052749,3.513,-0.51,0.26,6.28,-0.585026652029182
053454.0-052501,,,,,
053454.1-052226,3.454,-1.04,,,
053454.2-052135,3.535,-0.33,0.33,6.14,-0.4814860601221125
053454.2-052854,3.58,0.07,0.52,5.93,-0.2839966563652008
053454.3-052207,,,,,
053454.4-052058,,,,,
053454.6-052301,,,,,
053454.6-052818,3.513,-0.7,0.25,6.4,-0.6020599913279624
053454.8-052512,3.513,-0.69,0.25,6.4,-0.6020599913279624
053455.0-052529,3.513,-0.42,0.26,6.18,-0.585026652029182
053455.0-052658,3.483,-0.98,0.14,6.16,-0.8538719643217619
053455.1-051746,,,,,
053455.1-051954,,,,,
053455.3-053021,4.025,1.89,2.9,6.51,0.4623979978989561
053455.6-052937,3.479,-0.69,0.16,5.68,-0.7958800173440752
053455.8-051945,3.454,-1.32,,,
053455.8-052011,,,,,
053455.8-052338,,,,,
053455.9-052108,,,,,
053455.9-052207,,,,,
053455.9-052313,3.679,1.19,2.69,5.74,0.42975228000240795
053455.9-052926,3.546,-0.23,0.37,6.09,-0.431798275933005
053456.0-053112,3.535,-0.37,0.33,6.17,-0.4814860601221125
053456.1-052855,,,,,
053456.2-052229,,,,,
053456.5-052750,3.535,-0.47,0.33,6.25,-0.4814860601221125
053456.5-053136,3.897,1.49,2.2,6.73,0.3424226808222063
053456.7-052637,3.454,-0.68,0.12,5.27,-0.9208187539523752
053456.8-052136,3.602,-0.03,0.71,6.21,-0.14874165128092473
053456.9-052121,,,,,
053456.9-052206,3.513,-1.3,0.19,6.91,-0.721246399047171
053457.0-052300,3.491,-0.79,0.18,6.14,-0.744727494896694
053457.4-053041,3.524,-0.59,0.29,6.32,-0.5376020021010439
053457.5-052346,,,,,
053457.7-052223,,,,,
053457.7-052251,3.513,-0.55,0.26,6.3,-0.585026652029182
053457.7-052351,3.591,0.47,0.6,5.67,-0.22184874961635637
053457.7-052352,3.591,0.47,0.6,5.67,-0.22184874961635637
053457.9-052945,3.513,-0.52,0.26,6.28,-0.585026652029182
053458.0-051737,3.58,-0.12,0.53,6.13,-0.27572413039921095
053458.0-052940,,,,,
053458.2-052533,3.467,-0.45,0.17,5.23,-0.7695510786217261
053458.2-052847,,,,,
053458.3-052116,3.546,-1.27,0.22,7.03,-0.6575773191777937
053458.8-052117,3.643,0.22,1.2,6.34,0.07918124604762482
053458.9-052803,3.513,-0.65,0.25,6.37,-0.6020599913279624
053459.1-052307,3.467,-0.76,0.13,5.53,-0.8860566476931632
053459.3-052332,3.441,-0.72,,,
053459.4-052251,,,,,
053459.4-052615,,,,,
053459.5-052400,3.524,-0.37,0.29,6.08,-0.5376020021010439
053459.6-052032,,,,,
053459.6-052540,3.535,-0.41,0.33,6.2,-0.4814860601221125
053459.8-052233,,,,,
053500.1-052301,3.719,0.87,2.11,6.47,0.3242824552976926
053500.1-052516,4.025,1.69,2.65,6.83,0.42324587393680785
053500.2-051851,3.58,-0.19,0.53,6.2,-0.27572413039921095
053500.2-052409,,,,,
053500.2-052549,,,,,
053500.4-051754,,,,,
053500.4-052514,3.623,-0.43,0.9,7.09,-0.045757490560675115
053500.8-053106,3.524,-0.39,0.29,6.1,-0.5376020021010439
053501.0-052303,3.479,-1.15,0.12,6.6,-0.9208187539523752
053501.0-052410,3.524,0.06,0.29,5.0,-0.5376020021010439
053501.1-052241,,,,,
053501.1-052406,,,,,
053501.1-052955,,,,,
053501.2-052144,3.441,-1.23,,,
053501.2-052219,,,,,
053501.2-052524,,,,,
053501.3-051821,,,,,
053501.3-052016,3.524,-0.56,0.29,6.3,-0.5376020021010439
053501.3-052022,3.591,-0.09,0.6,6.17,-0.22184874961635637
053501.3-052811,,,,,
053501.4-052820,3.524,-0.42,0.29,6.18,-0.5376020021010439
053501.5-051807,,,,,
053501.5-052158,,,,,
053501.5-052534,3.467,-1.0,0.11,5.77,-0.958607314841775
053501.6-052149,,,,,
053501.6-052410,3.467,-0.59,0.15,5.38,-0.8239087409443188
053501.7-052512,,,,,
053501.7-052709,,,,,
053501.8-053019,3.479,-0.79,0.15,5.74,-0.8239087409443188
053501.9-052353,,,,,
053502.0-051833,3.513,-0.37,0.27,5.74,-0.5686362358410126
053502.0-052055,,,,,
053502.0-052636,3.546,0.07,0.37,5.6,-0.431798275933005
053502.1-052909,3.535,-0.23,0.33,6.08,-0.4814860601221125
053502.3-052123,,,,,
053502.3-053110,,,,,
053502.4-052046,3.643,0.2,1.19,6.36,0.07554696139253074
053502.5-052601,,,,,
053502.5-053309,3.546,-0.18,0.37,6.05,-0.431798275933005
053502.7-051944,3.557,-0.45,0.41,6.32,-0.38721614328026455
053502.7-053224,,,,,
053502.8-052202,,,,,
053502.8-052208,,,,,
053502.8-052628,,,,,
053502.9-051551,,,,,
053502.9-053244,,,,,
053503.0-052237,3.441,-0.42,0.13,4.81,-0.8860566476931632
053503.0-053001,3.695,0.82,2.16,6.25,0.3344537511509309
053503.1-051829,3.546,-0.43,0.37,6.26,-0.431798275933005
053503.2-051753,3.441,-0.81,,,
053503.2-053019,,,,,
053503.3-051622,,,,,
053503.4-052332,3.502,-1.53,,,
053503.4-052610,3.479,-1.18,0.11,6.62,-0.958607314841775
053503.5-052046,,,,,
053503.5-052624,,,,,
053503.5-052925,,,,,
053503.6-052705,,,,,
053503.7-052245,3.483,-1.3,0.11,6.69,-0.958607314841775
053503.7-052454,,,,,
053503.9-051859,3.491,-0.78,0.18,6.14,-0.744727494896694
053503.9-052903,3.546,0.05,0.37,5.62,-0.431798275933005
053503.9-052940,,,,,
053504.0-052056,,,,,
053504.0-052637,3.535,-0.31,0.33,6.13,-0.4814860601221125
053504.0-052820,,,,,
053504.1-052015,,,,,
053504.1-052224,3.467,-0.95,0.11,5.71,-0.958607314841775
053504.1-052232,,,,,
053504.1-052234,,,,,
053504.2-052012,,,,,
053504.2-052627,3.535,-0.25,0.33,6.09,-0.4814860601221125
053504.3-052313,,,,,
053504.3-052313b,3.568,0.1,0.46,5.89,-0.3372421683184259
053504.4-051951,,,,,
053504.5-052013,,,,,
053504.5-052356,3.695,0.35,1.6,6.76,0.20411998265592482
053504.5-052604,3.513,-0.24,0.27,5.57,-0.5686362358410126
053504.5-052623,3.513,-0.24,0.27,5.57,-0.5686362358410126
053504.5-053115,,,,,
053504.6-052442,3.535,-0.83,0.31,6.61,-0.5086383061657274
053504.6-052936,3.502,-0.52,0.23,6.25,-0.638272163982407
053504.7-051742,3.643,0.41,1.19,6.08,0.07554696139253074
053504.7-052435,,,,,
053504.7-052551,,,,,
053504.7-052638,3.568,-0.15,0.47,6.1,-0.3279021420642826
053504.8-052057,3.502,-1.44,0.15,6.9,-0.8239087409443188
053504.8-052238,3.479,-0.6,0.17,5.76,-0.7695510786217261
053504.8-052302,,,,,
053504.9-052109,,,,,
053504.9-052248,,,,,
053505.1-052024,,,,,
053505.2-052323,,,,,
053505.2-052503,,,,,
053505.2-052603,3.479,-1.05,0.13,6.44,-0.8860566476931632
053505.3-052410,3.58,-0.16,0.54,6.18,-0.2676062401770315
053505.4-052230,3.428,-1.48,,,
053505.4-052415,,,,,
053505.4-052522,,,,,
053505.4-052555,3.502,-1.29,0.16,6.8,-0.7958800173440752
053505.4-052717,3.623,-0.07,0.93,6.5,-0.031517051446064856
053505.5-051921,,,,,
053505.5-052751,3.546,-0.46,0.37,6.29,-0.431798275933005
053505.6-051824,,,,,
053505.6-052519,3.702,1.12,2.7,6.07,0.43136376415898736
053505.6-052922,3.568,-0.92,0.46,7.07,-0.3372421683184259
053505.7-051936,,,,,
053505.7-052315,3.454,-1.17,,,
053505.7-052354,3.485,-0.38,0.2,5.34,-0.6989700043360187
053505.7-052418,3.643,-0.11,1.12,6.82,0.04921802267018165
053505.7-052504,,,,,
053505.7-052506,3.535,-0.13,0.33,5.96,-0.4814860601221125
053505.7-052626,3.513,-0.22,0.27,5.67,-0.5686362358410126
053505.7-053355,3.513,-0.41,0.26,6.15,-0.585026652029182
053505.8-052701,3.502,-0.26,0.23,6.34,-0.638272163982407
053505.8-052708,3.591,-0.23,0.62,6.38,-0.2076083105017461
053505.8-053418,,,,,
053505.9-052550,,,,,
053506.1-051955,3.491,-0.87,0.17,6.48,-0.7695510786217261
053506.1-052212,3.491,,,,
053506.1-052306,,,,,
053506.2-052202,3.643,-0.08,1.13,6.78,0.05307844348341968
053506.3-052336,,,,,
053506.4-052118,3.467,-0.94,0.11,6.0,-0.958607314841775
053506.4-052207,3.502,-1.14,0.19,6.65,-0.721246399047171
053506.4-052704,,,,,
053506.4-053335,3.568,-0.56,0.47,6.57,-0.3279021420642826
053506.5-051624,,,,,
053506.5-051722,,,,,
053506.5-052441,3.557,-0.06,0.41,5.98,-0.38721614328026455
053506.5-052501,3.491,-1.17,0.14,6.67,-0.8538719643217619
053506.5-052654,,,,,
053506.5-053250,,,,,
053506.6-052244,,,,,
053506.6-052651,3.479,-0.4,0.19,5.3,-0.721246399047171
053506.8-052209,3.441,-1.01,,,
053506.9-052244,,,,,
053506.9-052421,,,,,
053506.9-052600,,,,,
053507.0-052500,,,,,
053507.1-051830,3.448,-1.35,,,
053507.1-052650,,,,,
053507.2-052226,3.526,-0.49,0.3,6.23,-0.5228787452803376
053507.2-052253,,,,,
053507.2-052638,,,,,
053507.3-052228,,,,,
053507.3-052940,,,,,
053507.4-052301,,,,,
053507.4-052548,,,,,
053507.4-052640,3.467,-0.79,0.13,5.56,-0.8860566476931632
053507.5-051950,,,,,
053507.7-052101,,,,,
053507.7-052126,,,,,
053507.7-052452,3.491,-1.27,0.14,6.72,-0.8538719643217619
053507.7-052626,,,,,
053507.8-051705,3.513,-1.11,0.21,6.73,-0.6777807052660807
053507.8-052029,,,,,
053507.8-052917,3.502,-0.6,0.23,6.31,-0.638272163982407
053507.9-052003,,,,,
053507.9-052117,3.502,-0.79,0.21,6.43,-0.6777807052660807
053508.0-053243,3.58,-0.5,0.55,6.62,-0.2596373105057561
053508.1-053022,,,,,
053508.2-052046,,,,,
053508.2-052403,,,,,
053508.2-052912,3.479,-1.05,0.13,6.44,-0.8860566476931632
053508.3-051502,,,,,
053508.3-051913,,,,,
053508.3-051937,,,,,
053508.3-052434,,,,,
053508.3-052757,,,,,
053508.4-052119,,,,,
053508.4-052230,,,,,
053508.4-052304,,,,,
053508.4-052829,3.695,-0.08,1.1,7.28,0.04139268515822507
053508.5-052440,,,,,
053508.5-052441,3.479,-0.8,0.15,5.75,-0.8239087409443188
053508.5-052501,,,,,
053508.5-052518,3.535,-0.02,0.33,5.42,-0.4814860601221125
053508.6-051613,,,,,
053508.6-051647,,,,,
053508.6-052619,3.479,-1.19,0.11,6.62,-0.958607314841775
053508.7-052256,,,,,
053508.7-052901,3.585,-0.16,0.57,6.21,-0.24412514432750865
053508.8-051705,,,,,
053508.8-053148,3.661,0.09,1.3,6.74,0.11394335230683678
053508.9-051933,,,,,
053509.0-052259,,,,,
053509.0-052959,3.679,0.45,1.72,6.48,0.23552844690754893
053509.1-051651,,,,,
053509.2-051648,,,,,
053509.2-053058,,,,,
053509.3-052141,,,,,
053509.4-052058,,,,,
053509.5-052148,,,,,
053509.5-052748,,,,,
053509.6-052124,3.502,-0.59,0.24,6.05,-0.619788758288394
053509.6-052151,,,,,
053509.6-052355,,,,,
053509.6-052623,3.557,-1.21,0.38,7.32,-0.42021640338318983
053509.6-052800,3.464,-0.56,0.13,5.16,-0.8860566476931632
053509.6-052822,3.557,-0.2,0.41,6.08,-0.38721614328026455
053509.7-052128,,,,,
053509.7-052326,3.591,0.34,0.59,5.76,-0.22914798835785583
053509.7-052406,,,,,
053509.8-051858,,,,,
053509.8-051933,3.502,-0.19,0.24,5.2,-0.619788758288394
053509.8-052550,,,,,
053509.8-052634,,,,,
053509.8-052753,4.294,3.27,18.91,,1.2766915288450398
053509.9-052338,,,,,
053510.0-051457,,,,,
053510.0-051707,,,,,
053510.0-051816,,,,,
053510.0-052004,,,,,
053510.0-052401,,,,,
053510.0-052618,,,,,
053510.1-051931,,,,,
053510.1-052232,,,,,
053510.1-052758,,,,,
053510.2-051719,,,,,
053510.2-051833,,,,,
053510.2-052020,3.502,-0.99,0.19,6.58,-0.721246399047171
053510.2-052157,,,,,
053510.2-052316,,,,,
053510.2-052321,3.633,-0.78,0.72,7.79,-0.14266750356873156
053510.2-052623,,,,,
053510.3-051956,3.479,-0.81,0.15,5.76,-0.8239087409443188
053510.3-052112,3.602,-0.19,0.72,6.44,-0.14266750356873156
053510.3-052259,,,,,
053510.3-052417,,,,,
053510.3-052451,,,,,
053510.3-052903,,,,,
053510.3-053237,,,,,
053510.4-052132,,,,,
053510.4-052134,,,,,
053510.4-052149,,,,,
053510.4-052223,,,,,
053510.4-052245,3.568,0.37,0.46,5.36,-0.3372421683184259
053510.4-052600,,,,,
053510.4-053008,,,,,
053510.5-052003,,,,,
053510.5-052156,3.602,0.09,0.69,6.06,-0.16115090926274472
053510.5-052216,,,,,
053510.5-052244,,,,,
053510.5-052416,,,,,
053510.5-052544,,,,,
053510.5-052618,3.719,0.92,2.34,6.43,0.36921585741014284
053510.5-053143,,,,,
053510.5-053313,3.457,-0.44,0.17,5.21,-0.7695510786217261
053510.6-052256,,,,,
053510.6-052303,,,,,
053510.6-052332,,,,,
053510.7-052220,,,,,
053510.7-052344,3.591,1.09,0.74,3.99,-0.13076828026902382
053510.7-052628,3.502,-0.73,0.21,6.38,-0.6777807052660807
053510.8-051732,,,,,
053510.8-052148,,,,,
053510.8-052240,,,,,
053510.8-052556,,,,,
053510.8-052804,,,,,
053510.9-052224,,,,,
053510.9-052227,,,,,
053510.9-052246,,,,,
053510.9-052448,3.513,-0.4,0.26,6.07,-0.585026652029182
053510.9-052800,3.479,-0.52,0.18,5.71,-0.744727494896694
053510.9-053006,,,,,
053511.0-051521,,,,,
053511.0-052246,,,,,
053511.0-052314,,,,,
053511.1-051935,,,,,
053511.1-052532,,,,,
053511.1-052606,,,,,
053511.1-053459,3.479,-0.29,0.19,5.11,-0.721246399047171
053511.2-051720,3.557,-0.11,0.41,6.01,-0.38721614328026455
053511.2-052237,,,,,
053511.2-052416,,,,,
053511.3-051912,3.557,-0.37,0.41,6.24,-0.38721614328026455
053511.3-052115,,,,,
053511.3-052426,,,,,
053511.3-052438,,,,,
053511.4-051403,3.479,-0.66,0.17,5.88,-0.7695510786217261
053511.4-052144,,,,,
053511.4-052351,,,,,
053511.5-052106,,,,,
053511.5-052340,,,,,
053511.5-052345,,,,,
053511.5-052448,,,,,
053511.5-052459,,,,,
053511.5-052553,,,,,
053511.5-052602,3.679,0.82,2.14,6.07,0.33041377334919086
053511.6-051657,3.766,1.38,2.61,6.45,0.41664050733828095
053511.6-051912,,,,,
053511.6-052251,,,,,
053511.6-052421,3.473,-0.29,0.19,5.11,-0.721246399047171
053511.6-052608,,,,,
053511.6-052729,,,,,
053511.6-053101,,,,,
053511.7-052132,,,,,
053511.7-052155,,,,,
053511.7-052330,,,,,
053511.7-052333,,,,,
053511.7-052340,3.479,-0.12,0.19,4.82,-0.721246399047171
053511.7-052351,,,,,
053511.7-052512,,,,,
053511.7-052730,,,,,
053511.8-051726,,,,,
053511.8-051834,,,,,
053511.8-052100,,,,,
053511.8-052103,,,,,
053511.8-052149,,,,,
053511.8-052403,,,,,
053511.9-051926,3.679,0.72,2.02,6.17,0.3053513694466238
053511.9-052001,,,,,
053511.9-052032,3.679,0.99,2.35,5.91,0.37106786227173627
053511.9-052254,,,,,
053511.9-052303,,,,,
053511.9-052845,,,,,
053511.9-052932,,,,,
053511.9-053155,3.568,0.03,0.27,5.0,-0.5686362358410126
053512.0-051924,3.479,0.42,0.2,2.72,-0.6989700043360187
053512.0-052039,,,,,
053512.0-052808,,,,,
053512.1-052008,,,,,
053512.1-052026,,,,,
053512.1-052433,,,,,
053512.1-052447,,,,,
053512.1-053020,3.454,-0.58,0.13,5.18,-0.8860566476931632
053512.1-053138,3.467,-0.3,0.17,5.0,-0.7695510786217261
053512.2-052045,,,,,
053512.2-052348,3.58,0.05,0.52,5.95,-0.2839966563652008
053512.2-052424,,,,,
053512.2-052456,,,,,
053512.2-052600,,,,,
053512.2-053032,3.568,-0.14,0.46,6.07,-0.3372421683184259
053512.3-052047,,,,,
053512.3-052131,,,,,
053512.3-052241,,,,,
053512.3-052351,,,,,
053512.4-052031,,,,,
053512.4-052403,,,,,
053512.5-051633,,,,,
053512.5-051945,,,,,
053512.5-052301,,,,,
053512.5-052438,,,,,
053512.6-051935,3.524,-1.4,0.22,7.13,-0.6575773191777937
053512.6-052042,3.479,-0.89,0.14,6.07,-0.8538719643217619
053512.6-052204,,,,,
053512.6-052344,3.708,0.99,2.54,6.25,0.40483371661993806
053512.7-051613,3.513,-0.43,0.26,6.2,-0.585026652029182
053512.7-051652,3.602,0.57,0.7,5.62,-0.1549019599857432
053512.7-051927,,,,,
053512.7-052034,3.46,-0.93,0.1,5.59,-1.0
053512.7-052038,3.494,-0.78,0.19,6.26,-0.721246399047171
053512.7-052157,,,,,
053512.7-052254,,,,,
053512.7-052410,,,,,
053512.7-052426,,,,,
053512.7-052710,3.435,-0.62,0.14,5.37,-0.8538719643217619
053512.8-051524,3.602,0.22,0.69,5.92,-0.16115090926274472
053512.8-051548,,,,,
053512.8-052043,3.557,-0.17,0.41,6.06,-0.38721614328026455
053512.8-052105,,,,,
053512.8-052133,,,,,
053512.8-052133b,,,,,
053512.8-052247,,,,,
053512.8-052342,,,,,
053512.8-052351,,,,,
053512.9-052254,,,,,
053512.9-052330,,,,,
053512.9-052354,,,,,
053512.9-052431,,,,,
053512.9-052457,,,,,
053512.9-052849,,,,,
053513.0-051904,,,,,
053513.0-052030,3.623,0.49,0.9,5.79,-0.045757490560675115
053513.0-052153,,,,,
053513.0-052200,3.535,0.05,0.33,5.28,-0.4814860601221125
053513.0-052215,3.479,-0.38,0.19,5.27,-0.721246399047171
