Name,logTeff,logLum,Mass,logAge,logMass
053520.0-052105,3.602,0.22,0.69,5.92,-0.16115090926274472
053520.0-052223,,,,,
053520.0-052226,3.467,-0.67,0.14,5.54,-0.8538719643217619
053520.0-052514,,,,,
053520.0-052522,,,,,
053520.0-052537,3.575,0.04,0.49,5.94,-0.3098039199714863
053520.0-052912,,,,,
053520.0-052916,,,,,
053520.1-051221,,,,,
053520.1-051315,3.643,1.47,1.98,5.25,0.2966651902615311
053520.1-051944,,,,,
053520.1-052024,,,,,
053520.1-052133,,,,,
053520.1-052228,,,,,
053520.1-052308,,,,,
053520.1-052604,,,,,
053520.1-052639,3.719,0.91,2.26,6.44,0.35410843914740087
053520.1-052841,3.467,-1.14,,,
053520.2-051359,3.479,-0.54,0.18,5.71,-0.744727494896694
053520.2-052056,3.771,2.27,5.0,5.55,0.6989700043360189
053520.2-052503,,,,,
053520.2-052706,,,,,
053520.2-053216,3.441,-0.86,,,
053520.3-051957,,,,,
053520.3-052617,3.454,-1.33,,,
053520.3-053039,3.467,-0.22,0.18,4.84,-0.744727494896694
053520.4-051714,3.562,0.08,0.43,5.9,-0.36653154442041347
053520.4-051932,,,,,
053520.4-052019,,,,,
053520.4-052213,3.633,,,,
053520.4-052329,3.58,0.24,0.52,5.81,-0.2839966563652008
053520.4-052910,3.435,-0.73,,,
053520.5-052043,,,,,
053520.5-052052,,,,,
053520.5-052122,,,,,
053520.5-052140,,,,,
053520.5-052420,,,,,
053520.5-052425,,,,,
053520.5-052632,,,,,
053520.6-052245,3.557,-0.36,0.41,6.23,-0.38721614328026455
053520.6-052353,,,,,
053520.6-052446,3.535,-0.4,0.33,6.2,-0.4814860601221125
053520.6-052510,,,,,
053520.7-051549,,,,,
053520.7-051926,,,,,
053520.7-052144,4.272,3.11,6.25,5.79,0.7958800173440752
053520.7-052155,3.58,-0.39,0.54,6.46,-0.2676062401770315
053520.7-052616,,,,,
053520.8-052113,,,,,
053520.8-052121,3.623,-0.57,0.8,7.28,-0.09691001300805639
053520.8-052130,3.479,-0.62,0.17,5.84,-0.7695510786217261
053520.9-052150,,,,,
053520.9-052234,,,,,
053520.9-052321,3.58,-0.13,0.54,6.14,-0.2676062401770315
053520.9-052534,,,,,
053520.9-053005,,,,,
053521.0-051637,3.623,0.26,0.9,6.05,-0.045757490560675115
053521.0-052043,,,,,
053521.0-052222,3.513,-0.2,0.27,6.0,-0.5686362358410126
053521.0-052349,3.708,1.12,2.7,6.14,0.43136376415898736
053521.0-052355,,,,,
053521.0-052809,3.591,-0.19,0.61,6.31,-0.21467016498923297
053521.0-052905,,,,,
053521.0-053121,3.643,0.06,1.17,6.57,0.06818586174616162
053521.1-051821,,,,,
053521.1-051916,,,,,
053521.1-052055,,,,,
053521.1-052333,3.471,-0.68,0.15,5.56,-0.8239087409443188
053521.1-052556,3.571,-1.0,0.47,7.21,-0.3279021420642826
053521.2-052200,,,,,
053521.2-052259,3.513,-0.31,0.27,5.82,-0.5686362358410126
053521.2-052316,,,,,
053521.2-052457,3.695,0.55,1.9,6.54,0.2787536009528289
053521.2-052738,,,,,
053521.2-052824,,,,,
053521.3-051902,,,,,
053521.3-052207,,,,,
053521.3-052215,3.546,-1.71,0.29,7.84,-0.5376020021010439
053521.3-052345,3.602,-0.04,0.7,6.24,-0.1549019599857432
053521.3-052411,3.568,-0.47,0.46,6.44,-0.3372421683184259
053521.3-052644,3.623,0.53,0.91,5.76,-0.040958607678906384
053521.4-051710,,,,,
053521.5-051952,,,,,
053521.5-052105,,,,,
053521.5-052316,3.502,0.18,0.24,4.51,-0.619788758288394
053521.6-051518,,,,,
053521.6-051754,,,,,
053521.6-052147,3.557,-0.2,0.41,6.08,-0.38721614328026455
053521.6-052212,,,,,
053521.6-052325,3.454,-0.45,0.14,5.04,-0.8538719643217619
053521.6-052526,3.58,-0.37,0.54,6.43,-0.2676062401770315
053521.6-052657,,,,,
053521.6-052714,3.454,-1.43,,,
053521.7-051717,,,,,
053521.7-051946,,,,,
053521.7-052310,3.546,0.32,0.36,4.79,-0.44369749923271273
053521.7-052339,3.623,0.05,0.91,6.32,-0.040958607678906384
053521.7-052348,3.535,,,,
053521.7-052644,3.535,-0.64,0.32,6.41,-0.494850021680094
053521.8-052007,,,,,
053521.8-052208,,,,,
053521.8-052240,,,,,
053521.8-052307,,,,,
053521.8-052353,3.679,0.6,1.9,6.31,0.2787536009528289
053521.8-052355,3.557,-0.34,0.41,6.21,-0.38721614328026455
053521.8-052441,,,,,
053521.9-051427,3.535,-0.17,0.33,6.02,-0.4814860601221125
053521.9-051501,3.491,-0.2,0.22,5.1,-0.6575773191777937
053521.9-051704,,,,,
053521.9-051811,,,,,
053521.9-052426,,,,,
053521.9-052827,3.518,-0.05,0.24,4.96,-0.619788758288394
053522.0-051933,,,,,
053522.0-052432,,,,,
053522.0-052811,,,,,
053522.0-052815,3.557,-0.59,0.4,6.49,-0.3979400086720376
053522.0-052855,,,,,
053522.1-051857,,,,,
053522.1-052129,,,,,
053522.1-052213,3.494,-1.21,0.15,6.71,-0.8239087409443188
053522.1-052234,3.602,0.36,0.68,5.83,-0.16749108729376366
053522.1-052331,,,,,
053522.1-052424,3.687,0.68,1.98,6.3,0.2966651902615311
053522.1-052507,,,,,
053522.2-051808,,,,,
053522.2-051950,,,,,
053522.2-052007,,,,,
053522.2-052012,,,,,
053522.2-052029,3.679,0.39,1.66,6.54,0.22010808804005508
053522.2-052142,,,,,
053522.2-052217,3.479,,,,
053522.2-052637,3.568,0.05,0.46,5.92,-0.3372421683184259
053522.2-052744,,,,,
053522.2-052836,3.441,-1.13,,,
053522.3-052414,3.557,-0.04,0.41,5.96,-0.38721614328026455
053522.3-052728,3.479,-0.57,0.18,5.78,-0.744727494896694
053522.3-053116,3.441,-0.7,,,
053522.3-053355,3.479,-0.58,0.18,5.77,-0.744727494896694
053522.4-051732,,,,,
053522.4-052201,3.679,0.26,1.5,6.7,0.17609125905568124
053522.4-052413,,,,,
053522.4-052509,3.679,,,,
053522.4-052545,,,,,
053522.4-052611,,,,,
053522.5-051951,,,,,
053522.5-052343,3.58,-0.06,0.53,6.06,-0.27572413039921095
053522.6-051327,,,,,
053522.6-051411,,,,,
053522.6-051508,3.524,-1.39,0.22,7.12,-0.6575773191777937
053522.6-052137,,,,,
053522.6-053338,,,,,
053522.7-051613,,,,,
053522.7-051838,,,,,
053522.7-051947,,,,,
053522.7-052141,,,,,
053522.7-052157,,,,,
053522.7-052505,,,,,
053522.7-052514,,,,,
053522.8-052022,,,,,
053522.8-052226,,,,,
053522.8-052313,3.58,-0.02,0.53,6.01,-0.27572413039921095
053522.8-052457,4.543,5.03,23.3,,1.3673559210260189
053522.8-053137,3.535,-0.38,0.33,6.18,-0.4814860601221125
053522.9-051744,,,,,
053522.9-052241,3.623,0.37,0.9,5.92,-0.045757490560675115
053522.9-053228,3.557,-0.2,0.41,6.08,-0.38721614328026455
053523.0-052459,,,,,
053523.0-052836,,,,,
053523.1-051343,,,,,
053523.1-052228,,,,,
053523.1-052615,,,,,
053523.2-052135,,,,,
053523.2-052833,,,,,
053523.3-051957,,,,,
053523.3-052125,3.591,-0.14,0.63,6.26,-0.2006594505464183
053523.3-052810,3.502,-0.55,0.23,6.26,-0.638272163982407
053523.4-051523,,,,,
053523.4-051850,3.571,0.04,0.47,5.93,-0.3279021420642826
053523.4-052001,,,,,
053523.4-052039,,,,,
053523.4-052059,,,,,
053523.5-051857,3.58,-0.25,0.53,6.27,-0.27572413039921095
053523.5-051912,,,,,
053523.5-051930,,,,,
053523.5-052350,,,,,
053523.5-052454,,,,,
053523.6-052116,,,,,
053523.6-052212,,,,,
053523.6-052331,3.643,-0.23,1.05,7.0,0.021189299069938092
053523.6-052346,3.557,-0.56,0.4,6.45,-0.3979400086720376
053523.6-052457,,,,,
053523.6-052526,,,,,
053523.6-052626,3.513,-0.03,0.26,5.05,-0.585026652029182
053523.7-051839,3.535,-0.65,0.32,6.42,-0.494850021680094
053523.7-052319,3.513,,,,
053523.7-052804,,,,,
053523.8-052118,,,,,
053523.8-052334,3.557,-0.36,0.41,6.23,-0.38721614328026455
053523.8-053047,3.708,0.7,2.01,6.51,0.30319605742048883
053523.9-051821,,,,,
053523.9-051907,3.502,-0.5,0.24,6.14,-0.619788758288394
053523.9-051913,,,,,
053523.9-052010,,,,,
053523.9-052106,,,,,
053523.9-052509,3.557,-1.01,0.39,7.04,-0.4089353929735008
053524.0-052313,,,,,
053524.1-051854,,,,,
053524.1-051927,,,,,
053524.1-052132,3.513,-0.45,0.26,6.23,-0.585026652029182
053524.1-052155,3.479,-0.29,0.22,5.25,-0.6575773191777937
053524.2-052518,3.643,0.24,1.2,6.31,0.07918124604762482
053524.2-052957,3.535,-0.21,0.33,6.06,-0.4814860601221125
053524.3-052206,,,,,
053524.3-052232,,,,,
053524.3-052556,,,,,
053524.3-052600,,,,,
053524.3-052647,,,,,
053524.3-052844,3.441,-0.53,,,
053524.4-052401,,,,,
053524.4-052439,3.58,0.09,0.52,5.92,-0.2839966563652008
053524.4-052631,3.509,-0.15,0.26,5.39,-0.585026652029182
053524.5-051659,3.557,-0.07,0.41,5.98,-0.38721614328026455
053524.5-052501,3.557,-0.91,0.41,6.94,-0.38721614328026455
053524.5-052526,,,,,
053524.6-051909,3.502,-0.13,0.24,5.16,-0.619788758288394
053524.6-051933,,,,,
053524.6-051955,,,,,
053524.6-052104,,,,,
053524.6-052242,3.441,-0.1,0.14,4.12,-0.8538719643217619
053524.7-051641,,,,,
053524.7-052134,,,,,
053524.7-052435,3.58,-0.12,0.53,6.13,-0.27572413039921095
053524.7-052444,,,,,
053524.7-052759,,,,,
053524.7-052825,3.467,-1.34,,,
053524.8-052510,,,,,
053524.9-052401,,,,,
053525.0-052034,,,,,
053525.0-052258,3.687,0.56,1.9,6.44,0.2787536009528289
053525.0-052326,,,,,
053525.0-052346,3.661,0.47,1.53,6.23,0.1846914308175988
053525.0-052353,,,,,
053525.0-052438,,,,,
053525.1-052225,3.535,-1.46,0.25,7.33,-0.6020599913279624
053525.1-052524,,,,,
053525.2-051536,3.524,-0.47,0.29,6.22,-0.5376020021010439
053525.2-052457,,,,,
053525.2-052823,,,,,
053525.2-052951,,,,,
053525.2-053321,3.491,-0.26,0.22,5.25,-0.6575773191777937
053525.3-052006,,,,,
053525.3-052345,,,,,
053525.3-052411,3.557,-1.01,0.39,7.04,-0.4089353929735008
053525.3-052529,,,,,
053525.4-052012,,,,,
053525.4-052134,3.623,0.09,0.91,6.27,-0.040958607678906384
053525.4-052135,3.623,0.09,0.91,6.27,-0.040958607678906384
053525.4-052151,,,,,
053525.4-052333,,,,,
053525.5-052154,,,,,
053525.5-053304,,,,,
053525.6-051804,,,,,
053525.6-053020,3.571,-0.07,0.47,6.02,-0.3279021420642826
053525.6-053038,3.491,-0.28,0.22,5.23,-0.6575773191777937
053525.7-052309,3.591,-0.41,0.64,6.64,-0.1938200260161128
053525.7-052641,3.568,-0.23,0.46,6.17,-0.3372421683184259
053525.8-051809,,,,,
053525.8-052201,,,,,
053525.9-053049,,,,,
053526.0-052017,,,,,
053526.0-052120,,,,,
053526.0-052547,3.58,0.08,0.53,5.94,-0.27572413039921095
053526.1-052005,,,,,
053526.1-052257,3.454,-1.35,,,
053526.1-052520,3.491,-0.87,0.17,6.48,-0.7695510786217261
053526.1-052539,,,,,
053526.1-053018,3.524,-0.5,0.29,6.25,-0.5376020021010439
053526.2-052118,,,,,
053526.2-052219,,,,,
053526.2-052736,3.744,1.02,2.2,6.6,0.3424226808222063
053526.3-051744,,,,,
053526.3-051857,,,,,
053526.3-051950,,,,,
053526.3-052540,3.753,1.16,2.34,6.55,0.36921585741014284
053526.3-052744,3.502,-0.47,0.24,6.07,-0.619788758288394
053526.4-051612,,,,,
053526.4-052225,,,,,
053526.4-052302,3.652,-1.19,,,
053526.4-052344,,,,,
053526.4-052500,4.383,3.96,11.96,,1.077731179652392
053526.4-053016,,,,,
053526.5-051752,,,,,
053526.5-051757,,,,,
053526.5-051919,,,,,
053526.5-052609,,,,,
053526.7-051645,,,,,
053526.7-051902,,,,,
053526.7-052013,,,,,
053526.7-052053,,,,,
053526.8-051444,,,,,
053526.9-051806,,,,,
053526.9-052400,3.471,-0.71,0.14,5.55,-0.8538719643217619
053526.9-052448,3.46,-0.56,0.14,5.24,-0.8538719643217619
053527.0-051544,,,,,
053527.0-052532,,,,,
053527.1-053002,,,,,
053527.2-052615,,,,,
053527.2-053024,,,,,
053527.3-052135,,,,,
053527.3-052336,3.661,0.44,1.52,6.27,0.18184358794477254
053527.3-052928,,,,,
053527.4-051709,3.58,0.13,0.52,5.88,-0.2839966563652008
053527.4-051744,,,,,
053527.4-052628,3.58,0.05,0.52,5.95,-0.2839966563652008
053527.5-051655,,,,,
053527.5-052040,,,,,
053527.5-052725,3.513,-0.34,0.27,5.69,-0.5686362358410126
053527.5-052831,3.491,-0.3,0.22,5.33,-0.6575773191777937
053527.6-051816,,,,,
053527.6-052037,,,,,
053527.7-051804,3.557,-0.14,0.41,6.03,-0.38721614328026455
053527.7-052118,,,,,
053527.7-052121,,,,,
053527.7-052332,,,,,
053527.7-052617,,,,,
053527.7-052851,,,,,
053527.8-052323,,,,,
053527.8-052802,3.467,-0.31,0.17,5.01,-0.7695510786217261
053527.8-053109,,,,,
053527.9-051657,3.502,-0.06,0.24,5.03,-0.619788758288394
053527.9-051859,,,,,
053527.9-052246,,,,,
053527.9-052930,,,,,
053528.0-051720,3.491,-0.35,0.22,5.35,-0.6575773191777937
053528.1-051857,,,,,
053528.1-052134,,,,,
053528.1-052306,3.513,-1.22,0.2,6.84,-0.6989700043360187
053528.2-051550,,,,,
053528.2-052458,3.602,-0.6,0.74,7.1,-0.13076828026902382
053528.3-051754,3.557,-1.38,0.36,7.56,-0.44369749923271273
053528.3-051823,3.491,-0.41,0.21,5.6,-0.6777807052660807
053528.3-052503,3.546,0.01,0.37,5.66,-0.431798275933005
053528.4-051902,3.513,-0.39,0.26,5.91,-0.585026652029182
053528.4-052438,,,,,
053528.4-052620,3.993,1.54,2.46,6.88,0.39093510710337914
053528.5-052504,,,,,
053528.6-052154,,,,,
053528.6-052225,,,,,
053528.9-051618,,,,,
053529.0-052116,,,,,
053529.0-052910,3.58,-0.11,0.54,6.13,-0.2676062401770315
053529.1-051818,,,,,
053529.3-052546,3.491,-0.24,0.22,5.17,-0.6575773191777937
053529.4-051633,3.58,-0.06,0.53,6.06,-0.27572413039921095
053529.4-051845,,,,,
053529.4-052537,,,,,
053529.5-051839,,,,,
053529.5-052311,,,,,
053529.5-052456,3.557,0.7,0.43,4.14,-0.36653154442041347
053529.6-052002,,,,,
053529.6-053024,,,,,
053529.6-053112,3.535,-0.33,0.33,6.14,-0.4814860601221125
053529.8-051606,,,,,
053529.8-052348,3.535,-0.55,0.32,6.32,-0.494850021680094
053529.8-052355,3.546,-0.15,0.37,6.01,-0.431798275933005
053529.9-051853,,,,,
053529.9-052858,,,,,
053530.2-052551,3.502,-0.4,0.24,5.92,-0.619788758288394
053530.3-052238,,,,,
053530.3-052737,3.513,-0.7,0.25,6.41,-0.6020599913279624
053530.4-051901,,,,,
053530.4-051934,,,,,
053530.4-052423,,,,,
053530.4-052538,3.591,-0.11,0.6,6.19,-0.22184874961635637
053530.4-052831,3.535,-0.51,0.33,6.28,-0.4814860601221125
053530.6-052139,,,,,
053530.6-052511,3.513,-1.11,0.21,6.73,-0.6777807052660807
053530.6-052716,3.502,-0.33,0.24,5.42,-0.619788758288394
053530.7-051807,,,,,
053530.7-052146,,,,,
053530.7-052431,3.467,-0.75,0.13,5.52,-0.8860566476931632
053530.7-052535,,,,,
053530.7-052541,,,,,
053530.8-053036,3.502,-0.5,0.24,6.14,-0.619788758288394
053530.9-051817,3.502,-0.06,0.25,4.9,-0.6020599913279624
053530.9-052201,,,,,
053530.9-052523,,,,,
053530.9-052543,3.467,-0.29,0.17,4.97,-0.7695510786217261
053531.0-051844,3.46,-0.77,,,
053531.0-052004,,,,,
053531.0-052428,,,,,
053531.2-051533,3.708,0.99,2.54,6.25,0.40483371661993806
053531.2-051855,3.591,0.25,0.59,5.83,-0.22914798835785583
053531.2-051931,,,,,
053531.2-052215,,,,,
053531.2-052339,3.661,0.16,1.4,6.65,0.146128035678238
053531.2-052725,,,,,
053531.3-051602,4.383,4.33,16.31,,1.2124539610402758
053531.3-051953,,,,,
053531.3-052743,,,,,
053531.4-052136,,,,,
053531.4-052304,,,,,
053531.4-052516,4.14,2.79,5.0,5.88,0.6989700043360189
053531.4-052816,3.467,-0.83,0.12,5.6,-0.9208187539523752
053531.5-051637,,,,,
053531.5-052245,,,,,
053531.5-052702,,,,,
053531.6-051658,,,,,
053531.6-053003,3.46,-0.36,,,
053531.7-052120,,,,,
053531.7-052934,3.491,-0.51,0.21,6.0,-0.6777807052660807
053531.8-052230,,,,,
053531.8-053148,,,,,
053531.9-051559,,,,,
053532.0-051620,,,,,
053532.0-052945,,,,,
053532.3-051807,3.557,0.12,0.4,5.86,-0.3979400086720376
053532.3-052117,,,,,
053532.3-053111,3.771,1.39,2.59,6.46,0.4132997640812518
053532.4-051551,,,,,
053532.4-052822,,,,,
053532.5-052610,3.546,-0.16,0.37,6.03,-0.431798275933005
053532.6-053047,,,,,
053532.6-053125,,,,,
053532.7-051738,3.555,-0.66,0.39,6.56,-0.4089353929735008
053532.7-052118,,,,,
053532.8-051819,,,,,
053532.8-052222,,,,,
053532.8-053021,,,,,
053532.9-051605,3.623,-0.13,0.94,6.6,-0.026872146400301365
053533.1-051734,,,,,
053533.1-051846,,,,,
053533.2-051957,3.591,-0.67,0.65,7.04,-0.1870866433571444
053533.3-051651,,,,,
053533.3-052720,,,,,
053533.4-052702,,,,,
053533.6-052850,3.467,-0.38,0.17,5.11,-0.7695510786217261
053533.8-051710,,,,,
053533.8-052244,,,,,
053534.1-052541,,,,,
053534.2-052718,,,,,
053534.3-052659,,,,,
053534.5-051839,,,,,
053534.6-052715,,,,,
053534.9-052836,,,,,
053534.9-052914,3.679,0.17,1.4,6.82,0.146128035678238
053535.0-052621,,,,,
053535.0-053035,,,,,
053535.1-051946,,,,,
053535.1-052754,3.524,-0.59,0.29,6.32,-0.5376020021010439
053535.2-052127,3.661,0.15,1.4,6.67,0.146128035678238
053535.2-052654,3.513,-0.48,0.26,6.25,-0.585026652029182
053535.6-052032,,,,,
053535.6-052936,,,,,
053535.8-052033,,,,,
053535.9-052002,,,,,
053535.9-052531,,,,,
053536.1-051913,,,,,
053536.2-052020,,,,,
053536.3-052427,,,,,
053536.5-052009,,,,,
053536.6-051850,,,,,
053536.6-052328,,,,,
053536.7-051947,,,,,
053536.8-051822,,,,,
053537.2-052004,,,,,
053537.3-052641,,,,,
053537.4-052324,,,,,
053537.5-052716,3.623,0.04,0.92,6.34,-0.03621217265444471
053537.6-051944,3.454,-0.88,,,
053537.8-051826,,,,,
053538.0-052027,,,,,
053538.0-052821,3.491,-0.31,0.22,5.3,-0.6575773191777937
053538.1-051811,,,,,
053538.3-052540,,,,,
053538.3-052834,3.502,-0.64,0.23,6.34,-0.638272163982407
053538.5-052737,3.479,-1.34,0.13,6.76,-0.8860566476931632
053538.7-051858,,,,,
053539.0-052026,3.513,-0.92,0.23,6.57,-0.638272163982407
053539.0-052101,3.568,-0.24,0.46,6.17,-0.3372421683184259
053539.4-052854,,,,,
053539.5-052842,,,,,
053539.6-052750,3.491,-0.49,0.21,5.79,-0.6777807052660807
053540.0-052016,,,,,
053540.3-052840,,,,,
053540.3-053013,,,,,
053540.5-052231,,,,,
053540.5-052701,,,,,
053540.6-052807,,,,,
053540.7-052706,,,,,
053540.8-052141,,,,,
053540.9-051944,,,,,
053540.9-052202,3.491,-0.95,0.16,6.54,-0.7958800173440752
053541.3-052750,3.513,-0.75,0.25,6.44,-0.6020599913279624
053541.7-052015,,,,,
053541.7-052335,,,,,
053541.7-052604,,,,,
053541.9-052812,3.719,1.03,2.55,6.34,0.4065401804339551
053542.0-052005,3.491,-1.05,0.15,6.59,-0.8239087409443188
053542.4-052733,3.623,0.0,0.92,6.39,-0.03621217265444471
053542.6-052544,3.502,-0.68,0.22,6.37,-0.6575773191777937
053542.6-052608,3.454,-0.54,0.13,5.14,-0.8860566476931632
053542.6-052633,,,,,
053542.7-051945,,,,,
053542.8-051930,,,,,
053542.9-052300,3.535,-0.54,0.33,6.31,-0.4814860601221125
053543.2-052516,,,,,
053543.2-052759,,,,,
053543.4-052047,,,,,
053543.5-052119,,,,,
053543.6-051928,,,,,
053543.6-052400,,,,,
053543.7-052637,,,,,
053544.6-052325,,,,,
053544.8-052434,3.491,-0.26,0.22,5.25,-0.6575773191777937
053545.0-052233,,,,,
053545.0-052503,,,,,
053545.0-052654,,,,,
053545.1-052255,,,,,
053545.3-052810,3.557,-0.29,0.41,6.16,-0.38721614328026455
053545.4-052036,3.58,-0.04,0.53,6.05,-0.27572413039921095
053545.5-052822,3.513,-0.41,0.26,6.15,-0.585026652029182
053545.7-052217,,,,,
053546.5-052224,3.479,-0.42,0.21,5.62,-0.6777807052660807
053547.4-052249,3.524,-0.24,0.29,5.99,-0.5376020021010439
053547.6-052618,,,,,
053548.2-052357,,,,,
053549.2-052417,,,,,
053550.1-052116,3.513,-0.74,0.25,6.43,-0.6020599913279624
053550.2-052139,,,,,
053550.2-052211,,,,,
053550.2-052604,,,,,
053552.8-052231,,,,,
053552.8-052542,,,,,
053552.8-052713,,,,,
053552.9-052305,,,,,
053553.2-052603,,,,,
053554.3-052644,3.571,-0.27,0.48,6.23,-0.3187587626244128
053554.4-052436,,,,,
053554.5-052706,3.535,-0.43,0.33,6.22,-0.4814860601221125
053554.9-052235,3.454,-0.95,,,
053555.4-052342,3.467,-0.75,0.13,5.52,-0.8860566476931632
053556.8-052527,3.643,-0.61,0.8,7.54,-0.09691001300805639
053557.3-052508,3.467,-0.84,0.12,5.61,-0.9208187539523752
053557.4-052415,,,,,
053557.6-052310,3.502,-0.31,0.48,5.56,-0.3187587626244128
